business_id,business_type,transaction_count,transaction_value_inr,operating_hours_per_day,digital_payment_usage_percent,transaction_value_range,transaction_volume_group
DP0001,Retail,681.0,445147.86,13.1,85.8,Very High,High
DP0002,Services,1134.0,525966.83,15.0,68.6,Very High,High
DP0003,Retail,1468.0,148239.26,12.8,87.6,Very High,High
DP0004,Restaurant,1427.0,585659.17,11.4,89.4,Very High,High
DP0005,Services,1231.0,111640.85,5.6,76.6,Very High,High
DP0006,Wholesale,832.0,311656.34,5.6,73.0,Very High,High
DP0007,Restaurant,699.0,441938.1,10.1,83.4,Very High,High
DP0008,HomeBusiness,1208.0,205794.37,14.7,79.1,Very High,High
DP0009,Retail,812.0,201611.32,11.8,78.8,Very High,High
DP0010,Wholesale,1761.0,700088.17,14.0,85.8,Very High,High
DP0011,Restaurant,1619.0,130442.16,7.2,81.2,Very High,High
DP0012,Services,630.0,511091.89,13.2,56.9,Very High,High
DP0013,HomeBusiness,937.0,872878.08,13.7,72.5,Very High,High
DP0014,HomeBusiness,476.0,699571.52,12.5,71.2,Very High,High
DP0015,Services,1523.0,248620.88,13.0,70.5,Very High,High
DP0016,Retail,1058.0,831174.75,6.7,96.4,Very High,High
DP0017,Wholesale,1348.0,859620.97,10.4,78.2,Very High,High
DP0018,Retail,569.0,513476.42,15.3,71.7,Very High,High
DP0019,Wholesale,740.0,748692.29,5.4,70.9,Very High,High
DP0020,Restaurant,396.0,370795.98,5.9,60.5,Very High,High
DP0021,Restaurant,1453.0,148067.49,11.0,88.7,Very High,High
DP0022,HomeBusiness,218.0,235925.32,12.2,66.7,Very High,Medium
DP0023,Restaurant,1146.0,62633.5,7.2,70.1,Very High,High
DP0024,Services,970.0,776382.11,8.7,83.0,Very High,High
DP0025,Wholesale,1328.0,748512.66,10.5,89.8,Very High,High
DP0026,Wholesale,86.0,378564.5,9.8,51.1,Very High,Low
DP0027,HomeBusiness,1578.0,816781.83,8.1,66.7,Very High,High
DP0028,Restaurant,748.0,730674.46,5.5,75.1,Very High,High
DP0029,Restaurant,1313.0,510468.22,13.0,79.8,Very High,High
DP0030,Wholesale,403.0,453076.66,10.3,56.6,Very High,High
DP0031,Wholesale,622.0,85597.21,7.2,55.3,Very High,High
DP0032,HomeBusiness,563.0,482616.28,13.6,68.4,Very High,High
DP0033,Services,1331.0,238902.77,7.9,83.9,Very High,High
DP0034,Restaurant,1532.0,112803.33,8.4,90.4,Very High,High
DP0035,Restaurant,801.0,49161.35,11.2,94.0,Very High,High
DP0036,Retail,1728.0,752374.63,15.3,98.0,Very High,High
DP0037,Services,142.0,405446.25,5.3,48.8,Very High,Medium
DP0038,Wholesale,187.0,259277.77,11.4,49.9,Very High,Medium
DP0039,Services,1709.0,95745.53,7.0,85.7,Very High,High
DP0040,Wholesale,1194.0,688637.49,11.1,66.6,Very High,High
DP0041,Wholesale,1341.0,32962.4,8.8,61.8,Very High,High
DP0042,Retail,495.0,372172.89,5.1,68.7,Very High,High
DP0043,HomeBusiness,253.0,95567.45,8.7,62.9,Very High,Medium
DP0044,Retail,429.0,861209.62,13.5,75.4,Very High,High
DP0045,Retail,56.0,384445.28,8.2,66.8,Very High,Low
DP0046,Services,256.0,894653.2,13.0,57.4,Very High,Medium
DP0047,Retail,1081.0,551035.91,9.2,86.0,Very High,High
DP0048,Retail,773.0,427071.28,14.0,78.9,Very High,High
DP0049,HomeBusiness,1436.0,12480.36,11.3,80.5,Very High,High
DP0050,Restaurant,1537.0,117942.33,9.2,94.1,Very High,High
DP0051,HomeBusiness,1456.0,643575.02,14.8,66.4,Very High,High
DP0052,Restaurant,672.0,104302.98,10.6,84.9,Very High,High
DP0053,Wholesale,1076.0,351980.64,9.1,87.8,Very High,High
DP0054,Restaurant,1079.0,202667.22,15.6,95.3,Very High,High
DP0055,Services,275.0,481703.31,8.0,60.6,Very High,Medium
DP0056,Retail,1419.0,93571.15,9.9,77.6,Very High,High
DP0057,HomeBusiness,681.0,555551.61,5.2,73.7,Very High,High
DP0058,Wholesale,1023.0,407316.11,15.3,92.0,Very High,High
DP0059,Services,478.0,102513.28,8.0,61.2,Very High,High
DP0060,Services,980.0,298729.63,12.3,74.6,Very High,High
DP0061,HomeBusiness,1323.0,369686.58,6.8,81.5,Very High,High
DP0062,Retail,60.0,258709.68,11.7,48.9,Very High,Low
DP0063,Wholesale,1407.0,237917.11,16.0,79.5,Very High,High
DP0064,HomeBusiness,254.0,304030.62,11.0,55.3,Very High,Medium
DP0065,Wholesale,1463.0,753515.93,5.2,68.2,Very High,High
DP0066,Wholesale,1010.0,834410.29,6.3,78.7,Very High,High
DP0067,Services,442.0,45140.85,11.5,68.3,Very High,High
DP0068,Wholesale,1531.0,365721.89,10.1,75.0,Very High,High
DP0069,Retail,225.0,94181.4,8.1,77.0,Very High,Medium
DP0070,HomeBusiness,1651.0,650636.96,12.2,79.9,Very High,High
DP0071,Retail,1378.0,748604.29,15.0,66.5,Very High,High
DP0072,Retail,1014.0,10027.4,12.4,88.4,Very High,High
DP0073,Restaurant,1479.0,32048.12,12.2,96.7,Very High,High
DP0074,Wholesale,638.0,111069.86,14.3,81.9,Very High,High
DP0075,Services,1517.0,882439.03,7.8,70.7,Very High,High
DP0076,Services,1212.0,6385.01,10.6,71.0,High,High
DP0077,Wholesale,491.0,580921.94,11.4,65.7,Very High,High
DP0078,Retail,1711.0,372777.64,6.2,86.7,Very High,High
DP0079,HomeBusiness,586.0,191094.0,15.0,61.8,Very High,High
DP0080,Restaurant,1448.0,508031.08,8.1,89.4,Very High,High
DP0081,Services,1354.0,500200.18,13.2,65.6,Very High,High
DP0082,Retail,1173.0,693562.63,12.0,83.3,Very High,High
DP0083,Services,1505.0,98849.36,15.3,79.1,Very High,High
DP0084,Wholesale,694.0,46723.43,5.3,81.8,Very High,High
DP0085,Restaurant,1433.0,299845.26,12.4,79.9,Very High,High
DP0086,Restaurant,976.0,401545.14,13.9,83.7,Very High,High
DP0087,HomeBusiness,1408.0,605068.88,15.2,71.6,Very High,High
DP0088,Services,822.0,287813.51,8.4,58.4,Very High,High
DP0089,Retail,1614.0,541248.8,5.3,91.0,Very High,High
DP0090,Services,1789.0,494179.23,7.4,68.9,Very High,High
DP0091,Retail,1228.0,798578.39,5.6,88.8,Very High,High
DP0092,Wholesale,1634.0,609274.79,5.6,84.3,Very High,High
DP0093,HomeBusiness,156.0,599665.44,10.2,48.7,Very High,Medium
DP0094,Retail,126.0,82254.11,6.1,61.7,Very High,Medium
DP0095,Wholesale,468.0,253474.72,12.8,74.1,Very High,High
DP0096,Wholesale,1137.0,665574.51,8.7,68.7,Very High,High
DP0097,Wholesale,1596.0,668718.3,6.6,80.6,Very High,High
DP0098,Services,317.0,47088.58,5.5,73.3,Very High,High
DP0099,Wholesale,1493.0,184376.15,5.7,75.19999999999999,Very High,High
DP0100,Retail,729.0,270494.97,12.4,69.7,Very High,High
DP0101,Restaurant,1426.0,611646.71,11.9,94.2,Very High,High
